# Kernel;Prior;PCA;Dataset;c;d;C;Epsilon;MinDCF
Polynomial;$\pi = 0.5$;No PCA;RAW;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.09650903909519992
Polynomial;$\pi = 0.1$;No PCA;RAW;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.41151228324618655
Polynomial;$\pi = 0.9$;No PCA;RAW;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.18296248234800197
Polynomial;$\pi = 0.5$;PCA $(m=5)$;RAW;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.09241631998778672
Polynomial;$\pi = 0.1$;PCA $(m=5)$;RAW;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.39149141890258643
Polynomial;$\pi = 0.9$;PCA $(m=5)$;RAW;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.1591046143276974
Polynomial;$\pi = 0.5$;No PCA;Z-Norm;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.10751752477640802
Polynomial;$\pi = 0.1$;No PCA;Z-Norm;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.4125873058280219
Polynomial;$\pi = 0.9$;No PCA;Z-Norm;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.18296248234800197
Polynomial;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.10532931313054208
Polynomial;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.4057987608615447
Polynomial;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$c = 1$;$d = 2$;$C = 10^{-1}$;$K = 1$;0.1763634975764284
