# Prior;MVG;PCA;Dataset;minDCF;actDCF
$\pi_T = 0.047$;Standard MVG;No PCA;RAW;0.7996588113123347;0.8221084926596672
$\pi_T = 0.066$;Standard MVG;No PCA;RAW;0.6632182027084756;0.6632182027084756
$\pi_T = 0.092$;Standard MVG;No PCA;RAW;0.5329515246522237;0.5673525038599921
$\pi_T = 0.126$;Standard MVG;No PCA;RAW;0.41619936410733;0.41619936410733
$\pi_T = 0.170$;Standard MVG;No PCA;RAW;0.334167133547564;0.334167133547564
$\pi_T = 0.225$;Standard MVG;No PCA;RAW;0.2765297689009109;0.2765297689009109
$\pi_T = 0.293$;Standard MVG;No PCA;RAW;0.21956717624596564;0.21956717624596564
$\pi_T = 0.371$;Standard MVG;No PCA;RAW;0.17141425567278756;0.17141425567278756
$\pi_T = 0.456$;Standard MVG;No PCA;RAW;0.13758112175775267;0.13758112175775267
$\pi_T = 0.544$;Standard MVG;No PCA;RAW;0.13577446154222872;0.14794479024919338
$\pi_T = 0.629$;Standard MVG;No PCA;RAW;0.15427228263666007;0.15427228263666007
$\pi_T = 0.707$;Standard MVG;No PCA;RAW;0.16327786985557485;0.16327786985557485
$\pi_T = 0.775$;Standard MVG;No PCA;RAW;0.17609504863529543;0.17612329864193543
$\pi_T = 0.830$;Standard MVG;No PCA;RAW;0.18342010529664313;0.18342010529664313
$\pi_T = 0.874$;Standard MVG;No PCA;RAW;0.18883248730964466;0.19380526654609623
$\pi_T = 0.908$;Standard MVG;No PCA;RAW;0.18883248730964466;0.18883248730964466
$\pi_T = 0.934$;Standard MVG;No PCA;RAW;0.18883248730964466;0.18883248730964466
$\pi_T = 0.953$;Standard MVG;No PCA;RAW;0.18883248730964466;0.21979695431472082
