# Prior;minDCF;actDCF
$\pi_T = 0.047$;0.582018912996112;0.6654616001895851
$\pi_T = 0.066$;0.5267324565643907;0.5471992489683805
$\pi_T = 0.092$;0.44696851075720473;0.4621725871883435
$\pi_T = 0.126$;0.3699471449564732;0.3770201830824821
$\pi_T = 0.170$;0.29141052420363833;0.31188948681177536
$\pi_T = 0.225$;0.22860057555023436;0.25419849627622065
$\pi_T = 0.293$;0.18138113191062902;0.19577378064592887
$\pi_T = 0.371$;0.14234808265812868;0.15111415298137854
$\pi_T = 0.456$;0.11314210807658572;0.1149227392573049
$\pi_T = 0.544$;0.0997214399953863;0.11777890987171552
$\pi_T = 0.629$;0.10604893238285296;0.12708929493594767
$\pi_T = 0.707$;0.11505451960176774;0.1543701773605352
$\pi_T = 0.775$;0.12382961801366456;0.12787169838148832
$\pi_T = 0.830$;0.13477482799572615;0.14704325627856552
$\pi_T = 0.874$;0.15035256986990578;0.1594896257074692
$\pi_T = 0.908$;0.17252355081008713;0.19891948989638153
$\pi_T = 0.934$;0.2040783422439236;0.21896254965161746
$\pi_T = 0.953$;0.24078090591626233;0.3346036509276743
