# Prior;minDCF;actDCF;calMinDCF;calActDCF;TPR;FPR;calTPR;calFPR
$\pi_T = 0.047$;0.865450929226574;1.064874979352664;0.865450929226574;0.9292487055724957;0.8402747960498068;0.006598984771573604;0.8800362154821186;0.013197969543147208
$\pi_T = 0.066$;0.7592280715323663;0.94740946144971;0.7592280715323663;0.7784859030613149;0.8526591107236269;0.007106598984771574;0.9053420805998126;0.019289340101522844
$\pi_T = 0.092$;0.6204419095343454;0.8174588126317314;0.6204419095343454;0.6929155107372765;0.872093023255814;0.01015228426395939;0.9219277108433735;0.028934010152284265
$\pi_T = 0.126$;0.5192632795384793;0.6750178776545447;0.5192632795384793;0.5267820765309605;0.8952468850946008;0.015228426395939087;0.9452463912394226;0.03604060913705584
$\pi_T = 0.170$;0.4312039129133109;0.5729485113145681;0.4312039129133109;0.4539961644029242;0.9131466540104414;0.023350253807106598;0.9579918032786885;0.050761421319796954
$\pi_T = 0.225$;0.34856121791443134;0.4473510071743227;0.34856121791443134;0.3510674835785918;0.9334963325183374;0.030964467005076143;0.9720758693361433;0.06345177664974619
$\pi_T = 0.293$;0.28366205125061766;0.3424167649376783;0.28366205125061766;0.2954529772971721;0.9515885022692889;0.04213197969543147;0.9768817204301076;0.07766497461928934
$\pi_T = 0.371$;0.23095271394987593;0.27008821207180816;0.23095271394987593;0.23714481815308758;0.9628482972136223;0.05279187817258883;0.9829295154185022;0.09390862944162437
$\pi_T = 0.456$;0.18299987828165237;0.2096572425980856;0.18299987828165237;0.18594386340035993;0.9725013220518244;0.066497461928934;0.9876126126126126;0.10964467005076142
$\pi_T = 0.544$;0.17248982089525075;0.20578192337241233;0.17248982089525075;0.1857435024393207;0.9773462783171522;0.08020304568527918;0.9890489913544669;0.12893401015228426
$\pi_T = 0.629$;0.193823753090579;0.22309562475397055;0.193823753090579;0.19573571183052224;0.9834437086092715;0.09543147208121827;0.9929286977018268;0.1446700507614213
$\pi_T = 0.707$;0.21183492752840857;0.24288963244067147;0.21183492752840857;0.21944914072637808;0.9876126126126126;0.10964467005076142;0.994001199760048;0.15888324873096446
$\pi_T = 0.775$;0.233474288064426;0.29271448430650837;0.233474288064426;0.24917266199804303;0.9890489913544669;0.12893401015228426;0.9956386292834891;0.18883248730964466
$\pi_T = 0.830$;0.24441949804648758;0.3031443900119368;0.24441949804648758;0.2536422410501391;0.9923529411764705;0.14365482233502538;0.9974538510502864;0.20456852791878172
$\pi_T = 0.874$;0.2599972399206672;0.33044765252743546;0.2599972399206672;0.27624089474300223;0.9940227136879857;0.15583756345177666;0.9980417754569191;0.22385786802030458
$\pi_T = 0.908$;0.2791442961407349;0.38053657542588376;0.2791442961407349;0.29284987989708006;0.9950617283950617;0.1817258883248731;0.9986604152712659;0.2431472081218274
$\pi_T = 0.934$;0.3001808237632925;0.3773556127077238;0.3001808237632925;0.33825188975314024;0.9968354430379747;0.20050761421319796;0.9986159169550173;0.26751269035532993
$\pi_T = 0.953$;0.3183599961053393;0.36675511521957116;0.3183599961053393;0.33663410778046615;0.998062015503876;0.21573604060913706;0.9992892679459844;0.2862944162436548
